Sum of KIDNAPPING & ABDUCTION,Column Labels,,,,,,,,,,,,
Row Labels,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Grand Total
A & N ISLANDS,4,4,4,6,4,10,24,34,32,20,30,16,188
ANDHRA PRADESH,2364,2604,2970,3052,3224,4060,4194,3940,3916,4106,4308,3740,42478
ARUNACHAL PRADESH,166,114,136,130,116,150,136,158,124,134,186,164,1714
ASSAM,2960,3190,3256,3812,3502,3650,3942,4478,5436,6500,7528,7624,55878
BIHAR,4318,4722,4854,6826,5386,5238,5060,6094,6444,7348,8536,9614,74440
CHANDIGARH,112,108,64,108,108,130,104,100,80,76,116,174,1280
CHHATTISGARH,414,356,354,428,492,478,488,546,572,718,944,900,6690
D & N HAVELI,8,18,14,24,26,36,18,34,24,36,18,26,282
DAMAN & DIU,10,6,2,4,8,6,2,8,0,4,6,6,62
DELHI UT,3254,2646,2312,2418,3180,2884,3376,3134,5072,6416,7534,7940,50166
GOA,18,18,28,26,34,32,24,72,66,50,56,48,472
GUJARAT,1996,2030,2088,2266,2328,2256,2624,2646,2696,2894,3228,3440,30492
HARYANA,898,854,776,846,984,1270,1602,1708,1832,1926,1918,2698,17312
HIMACHAL PRADESH,252,276,226,246,236,260,342,302,300,388,424,344,3596
JAMMU & KASHMIR,1212,1348,1424,1470,1496,1578,1516,1408,1746,1792,2154,2186,19330
JHARKHAND,882,936,974,936,1242,1270,1524,1584,1654,1956,1882,2112,16952
KARNATAKA,1118,1290,1062,1184,1178,1126,1360,1516,1784,2748,2790,2902,20058
KERALA,366,324,378,464,452,588,510,506,512,522,598,562,5782
LAKSHADWEEP,0,0,0,0,0,0,0,2,0,0,0,0,2
MADHYA PRADESH,1912,1928,1774,1664,1694,1616,1844,1858,2072,2374,2576,2604,23916
MAHARASHTRA,1970,1906,1852,2090,2388,2522,2624,2758,2572,3016,3338,3166,30202
MANIPUR,188,314,240,256,212,260,300,352,318,398,338,446,3622
MEGHALAYA,110,104,98,108,96,114,104,112,112,142,174,184,1458
MIZORAM,4,14,16,30,26,12,8,18,18,18,12,16,192
NAGALAND,46,54,76,46,52,62,34,88,104,100,68,54,784
ODISHA,1044,1046,954,1052,1282,1408,1602,1816,1860,2032,2278,3084,19458
PUDUCHERRY,8,20,36,20,12,36,40,34,36,34,24,38,338
PUNJAB,1026,1102,928,926,956,1182,1520,1436,1384,1578,1362,1838,15238
RAJASTHAN,5436,5174,4476,4768,3986,3940,4354,4716,5740,5970,6408,6486,61454
SIKKIM,12,18,0,10,6,16,18,8,12,12,20,20,152
TAMIL NADU,1904,2002,1758,1740,2058,1812,2540,2750,2744,3440,3968,3890,30606
TRIPURA,186,256,292,198,170,210,226,292,242,228,308,278,2886
UTTAR PRADESH,8660,6860,4416,6674,5910,6636,8956,10856,12166,12642,17000,17756,118532
UTTARAKHAND,366,396,342,426,406,424,506,494,550,572,628,594,5704
WEST BENGAL,1750,1662,1804,2400,2414,2710,3600,4664,5500,6690,8570,10234,51998
Grand Total,44974,43700,39984,46654,45664,47982,55122,60522,67720,76880,89328,95184,713714
