Sum of Kidnapping Abduction,Column Labels,,,,,,,,,,,,
Row Labels,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Grand Total
A & N ISLANDS,0,0,2,0,0,0,0,0,0,0,0,0,2
ANDHRA PRADESH,10,12,6,18,4,8,20,4,2,2,10,0,96
ARUNACHAL PRADESH,14,20,14,14,2,8,8,4,0,4,12,2,102
ASSAM,0,4,4,2,42,48,20,26,0,0,0,0,146
BIHAR,2,0,0,0,6,0,0,0,0,0,0,0,8
CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,10,8,12,28,18,6,14,0,0,0,12,20,128
D & N HAVELI,0,0,0,0,0,0,4,8,0,2,0,0,14
DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,12,8,18,12,12,16,14,26,18,26,32,26,220
HARYANA,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,0,0,2,0,0,0,0,0,0,0,0,0,2
JAMMU & KASHMIR,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,12,14,4,14,8,26,14,10,10,6,60,10,188
KARNATAKA,0,2,0,0,0,2,0,0,2,0,0,2,8
KERALA,0,0,2,2,0,2,0,2,2,0,0,2,12
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,28,32,32,30,28,28,34,40,54,60,78,90,534
MAHARASHTRA,8,12,4,8,8,6,16,14,2,16,22,14,130
MANIPUR,0,0,0,0,0,0,0,2,0,0,0,0,2
MEGHALAYA,0,2,0,0,0,0,0,0,0,0,0,0,2
MIZORAM,2,2,0,0,0,0,0,0,0,0,0,0,4
NAGALAND,10,4,4,0,0,18,0,0,0,0,0,0,36
ODISHA,12,4,26,22,8,4,20,18,26,8,8,6,162
PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,14,12,2,8,6,4,10,16,12,8,36,14,142
SIKKIM,0,2,0,0,0,0,2,2,2,0,2,2,12
TAMIL NADU,0,0,2,0,0,0,0,0,0,2,0,0,4
TRIPURA,0,0,0,0,0,0,0,0,2,2,0,2,6
UTTAR PRADESH,0,0,0,0,0,0,0,0,0,0,0,2,2
UTTARAKHAND,0,0,4,0,2,0,0,0,0,0,0,0,6
WEST BENGAL,0,0,0,0,0,0,2,2,0,2,2,14,22
Grand Total,134,138,138,158,144,176,178,174,132,138,274,206,1990
