Sum of Kidnapping and Abduction,Column Labels,,,,,,,,,,,,
Row Labels,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Grand Total
A & N ISLANDS,4,2,4,6,2,10,18,26,28,16,24,14,154
ANDHRA PRADESH,1530,1708,1862,2060,1990,2658,3128,2792,3052,3062,3224,2806,29872
ARUNACHAL PRADESH,110,76,102,82,78,102,88,94,56,92,120,116,1116
ASSAM,2140,2552,2702,3104,2912,3088,2942,3578,4184,5534,6384,6720,45840
BIHAR,1036,1488,1348,1994,1858,2168,2520,3578,3972,5138,6100,7578,38778
CHANDIGARH,100,94,56,86,90,114,92,84,72,56,92,132,1068
CHHATTISGARH,342,308,298,348,368,356,362,432,458,558,730,700,5260
D & N HAVELI,4,10,8,14,18,28,12,22,18,20,16,18,188
DAMAN & DIU,6,4,2,0,4,2,2,2,0,4,4,0,30
DELHI,1928,1786,1594,1762,2212,2132,2334,2272,3310,3480,4170,4320,31300
GOA,12,10,26,20,24,20,14,56,44,36,34,32,328
GUJARAT,1714,1614,1718,1810,1832,1890,2178,2238,2324,2580,2884,3054,25836
HARYANA,594,580,542,584,688,862,1108,1288,1318,1428,1466,1800,12258
HIMACHAL PRADESH,210,232,192,198,204,218,300,274,244,324,382,304,3082
JAMMU & KASHMIR,1008,1192,1230,1264,1316,1446,1414,1312,1650,1680,2046,2082,17640
JHARKHAND,558,356,524,356,566,820,1068,998,1034,1392,1320,1572,10564
KARNATAKA,542,600,488,572,624,656,780,810,816,1172,1430,2140,10630
KERALA,194,182,204,284,258,404,354,332,346,368,442,428,3796
LAKSHADWEEP,0,0,0,0,0,0,0,2,0,0,0,0,2
MADHYA PRADESH,1336,1278,1216,1168,1208,1234,1402,1472,1682,2060,2176,2254,18486
MAHARASHTRA,1222,1300,1252,1574,1702,1842,1934,1996,1852,2248,2504,2280,21706
MANIPUR,124,164,142,142,138,158,166,174,194,214,232,266,2114
MEGHALAYA,22,20,20,36,38,50,44,50,52,74,74,48,528
MIZORAM,2,4,4,0,0,2,0,2,0,0,0,6,20
NAGALAND,12,8,6,8,18,6,12,14,20,12,6,20,142
ODISHA,868,864,746,846,1094,1154,1320,1524,1598,1824,2016,2728,16582
PUDUCHERRY,6,12,26,16,6,26,28,18,26,28,18,32,242
PUNJAB,648,708,590,622,658,836,1090,1028,1026,1152,1034,1378,10770
RAJASTHAN,4330,4038,3500,3762,3098,3106,3388,3726,4620,4954,5426,5394,49342
SIKKIM,4,4,0,8,4,14,18,8,12,12,20,20,124
TAMIL NADU,1214,1428,1264,1384,1566,1436,2194,2320,2266,2928,3486,3386,24872
TRIPURA,70,96,58,108,86,124,162,220,184,182,232,228,1750
UTTAR PRADESH,5758,4596,2998,4648,4512,5102,6726,8878,10156,10936,15050,15820,95180
UTTARAKHAND,252,310,268,254,250,366,454,444,494,498,566,512,4668
WEST BENGAL,1390,1388,1602,2036,2078,2398,3180,3814,4374,5528,7422,8336,43546
Grand Total,29290,29012,26592,31156,31500,34828,40832,45878,51482,59590,71130,76524,527814
